"county_prec","total_pop","total_latino","joinR","county_id.x","pct16","total_votes","pres_clinton","pres_trump","county","precinct.x","pct_clinton","pct_trump","cnty_votes","wt","pct_latino","county_class","precinct.y","reg_2012","votes_2012","obama","romney","county_id.y","cnty_votes_2012","wt_2012"
"06001203200",554.5324,33.4764,"06001203200","06001","001-203200",475,423,28,"06001","06001203200",0.890526315789474,0.0589473684210526,595005,0.000798312619221687,0.0603686998270976,"Urban","203200",568,477,403,54,"06001",590116,0.000808315653193609
"06001203300",531.6006,18.1081,"06001203300","06001","001-203300",630,577,18,"06001","06001203300",0.915873015873016,0.0285714285714286,595005,0.00105881463180982,0.0340633550827445,"Urban","203300",647,523,473,31,"06001",590116,0.000886266428973287
"06001203400",551.6482,14.766,"06001203400","06001","001-203400",561,510,18,"06001","06001203400",0.909090909090909,0.0320855614973262,595005,0.000942849219754456,0.0267670591511039,"Urban","203400",672,554,508,26,"06001",590116,0.00093879847352046
"06001203500",972.9394,60.5495,"06001203500","06001","001-203500",953,839,53,"06001","06001203500",0.880377754459601,0.055613850996852,595005,0.00160166721288056,0.0622335779597373,"Urban","203500",1243,903,764,88,"06001",590116,0.00153020762019671
"06001203800",844.3794,95.7474,"06001203800","06001","001-203800",749,687,10,"06001","06001203800",0.917222963951936,0.0133511348464619,595005,0.00125881295115167,0.113393813255037,"Urban","203800",875,729,663,29,"06001",590116,0.00123535033789967
"06001204000",1416,77,"06001204000","06001","001-204000",212,191,7,"06001","06001204000",0.900943396226415,0.0330188679245283,595005,0.000356299526894732,0.0543785310734463,"Urban","204000",1176,853,760,38,"06001",590116,0.00144547851608836
"06001204100",571,22,"06001204100","06001","001-204100",394,354,12,"06001","06001204100",0.898477157360406,0.0304568527918782,595005,0.000662179309417568,0.0385288966725044,"Urban","204100",530,395,350,12,"06001",590116,0.000669359922455924
"06001204210",1468,98,"06001204210","06001","001-204210",578,521,15,"06001","06001204210",0.901384083044983,0.0259515570934256,595005,0.000971420408231864,0.0667574931880109,"Urban","204210",1280,796,722,31,"06001",590116,0.00134888733740485
"06001204220",912,78,"06001204220","06001","001-204220",423,370,12,"06001","06001204220",0.874704491725768,0.0283687943262411,595005,0.000710918395643734,0.0855263157894737,"Urban","204220",744,409,359,18,"06001",590116,0.00069308407160626
"06001204300",1332.797,123.8486,"06001204300","06001","001-204300",592,526,18,"06001","06001204300",0.888513513513513,0.0304054054054054,595005,0.000994949622272082,0.0929238286100584,"Urban","204300",1206,881,786,26,"06001",590116,0.00149292681438904
"06001204310",1116.9218,103.2353,"06001204310","06001","001-204310",665,594,16,"06001","06001204310",0.893233082706767,0.0240601503759399,595005,0.00111763766691036,0.0924284045669088,"Urban","204310",1128,866,778,23,"06001",590116,0.00146750808315653
"06001204600",2048.8236,114.404,"06001204600","06001","001-204600",518,422,18,"06001","06001204600",0.814671814671815,0.0347490347490347,595005,0.000870580919488072,0.0558388726096283,"Urban","204600",1365,938,789,61,"06001",590116,0.00158951799307255
"06001204900",2405.3509,436.1659,"06001204900","06001","001-204900",393,324,17,"06001","06001204900",0.824427480916031,0.0432569974554707,595005,0.000660498651271838,0.181331505519631,"Urban","204900",1726,912,800,45,"06001",590116,0.00154545885893621
"06001205000",566.6028,10.6126,"06001205000","06001","001-205000",571,527,25,"06001","06001205000",0.922942206654991,0.0437828371278459,595005,0.000959655801211755,0.0187302286540059,"Urban","205000",640,541,486,34,"06001",590116,0.000916768906452291
"06001205100",683.9231,59.3911,"06001205100","06001","001-205100",658,585,24,"06001","06001205100",0.889057750759878,0.0364741641337386,595005,0.00110587305989025,0.0868388565907483,"Urban","205100",739,633,561,52,"06001",590116,0.00107267045801165
"06001205200",780.9804,21.8814,"06001205200","06001","001-205200",712,645,19,"06001","06001205200",0.905898876404494,0.026685393258427,595005,0.00119662859975967,0.0280178606274882,"Urban","205200",842,721,643,44,"06001",590116,0.00122179368124233
"06001205500",656.3926,22.0066,"06001205500","06001","001-205500",657,605,20,"06001","06001205500",0.920852359208524,0.030441400304414,595005,0.00110419240174452,0.0335265815001571,"Urban","205500",781,652,576,40,"06001",590116,0.00110486751757282
"06001205600",1222.6389,20.5313,"06001205600","06001","001-205600",1000,912,35,"06001","06001205600",0.912,0.035,595005,0.00168065814572987,0.0167926114570704,"Urban","205600",1162,977,900,39,"06001",590116,0.00165560669427706
"06001205700",713.6024,55.2731,"06001205700","06001","001-205700",713,659,24,"06001","06001205700",0.924263674614306,0.0336605890603086,595005,0.0011983092579054,0.0774564379267783,"Urban","205700",843,708,647,34,"06001",590116,0.00119976411417416
"06001205800",570.4812,18.516,"06001205800","06001","001-205800",587,537,19,"06001","06001205800",0.914821124361158,0.0323679727427598,595005,0.000986546331543433,0.0324568101455403,"Urban","205800",691,571,529,30,"06001",590116,0.000967606368917298
"06001205900",721.0249,32.5168,"06001205900","06001","001-205900",644,589,23,"06001","06001205900",0.914596273291925,0.0357142857142857,595005,0.00108234384585003,0.0450980264343159,"Urban","205900",735,631,570,32,"06001",590116,0.00106928129384731
"06001206000",521.2689,30.3406,"06001206000","06001","001-206000",523,471,15,"06001","06001206000",0.90057361376673,0.0286806883365201,595005,0.000878984210216721,0.0582052756264569,"Urban","206000",614,522,474,32,"06001",590116,0.00088457184689112
"06001206100",1130.7515,74.8395,"06001206100","06001","001-206100",633,580,19,"06001","06001206100",0.916271721958926,0.0300157977883096,595005,0.00106385660624701,0.0661856296454172,"Urban","206100",1120,933,835,43,"06001",590116,0.00158104508266171
"06001206200",645.5347,52.2389,"06001206200","06001","001-206200",548,494,17,"06001","06001206200",0.901459854014598,0.031021897810219,595005,0.000921000663859968,0.0809234577165255,"Urban","206200",686,556,499,27,"06001",590116,0.000942187637684794
"06001206400",1163.4449,143.581,"06001206400","06001","001-206400",568,514,15,"06001","06001206400",0.904929577464789,0.0264084507042254,595005,0.000954613826774565,0.123410227678165,"Urban","206400",1162,933,833,24,"06001",590116,0.00158104508266171
"06001206600",690.2218,18.1586,"06001206600","06001","001-206600",635,552,22,"06001","06001206600",0.869291338582677,0.0346456692913386,595005,0.00106721792253847,0.0263083547926188,"Urban","206600",764,498,431,24,"06001",590116,0.000843901876919114
"06001207000",593.6759,28.2203,"06001207000","06001","001-207000",704,649,13,"06001","06001207000",0.921875,0.0184659090909091,595005,0.00118318333459383,0.047534858666151,"Urban","207000",612,537,491,17,"06001",590116,0.000909990578123623
"06001207100",565.7221,25.1753,"06001207100","06001","001-207100",283,259,9,"06001","06001207100",0.915194346289753,0.0318021201413428,595005,0.000475626255241553,0.0445011782286745,"Urban","207100",514,444,409,16,"06001",590116,0.000752394444482102
"06001207200",703.602,29.6044,"06001207200","06001","001-207200",527,475,12,"06001","06001207200",0.901328273244782,0.0227703984819734,595005,0.00088570684279964,0.0420754915420934,"Urban","207200",626,528,465,27,"06001",590116,0.000894739339384121
"06001207300",604.856,22.9584,"06001207300","06001","001-207300",507,453,11,"06001","06001207300",0.893491124260355,0.0216962524654832,595005,0.000852093679885043,0.0379568029415266,"Urban","207300",600,487,428,19,"06001",590116,0.000825261474015278
"06001207500",868.144,74.0416,"06001207500","06001","001-207500",744,638,35,"06001","06001207500",0.85752688172043,0.0470430107526882,595005,0.00125040966042302,0.0852872334543578,"Urban","207500",647,511,445,27,"06001",590116,0.000865931443987284
"06001207600",1340,36,"06001207600","06001","001-207600",528,447,25,"06001","06001207600",0.846590909090909,0.0473484848484848,595005,0.00088738750094537,0.026865671641791,"Urban","207600",905,507,444,30,"06001",590116,0.000859153115658616
